Item Name,Shortened Name,CO2 (g/kg),Numeric (grams),Brief Description (~20 words),Image Name,Notes,Citation,"(Tentative) ""Lively style"" Description?"
Taylor Swift Private Jet Flights ,Taylor Swift Jet,"~ 8,300 tonnes of carbon ",8300000000,taylor swift spend around 16 days flying on tour in 2022,taylor-swift-private-jet,,https://www.green.earth/blog/taylor-swifts-eras-tour-its-carbon-footprint-and-offset-strategies https://carbonmarketwatch.org/2024/02/13/taylor-swift-and-the-top-polluters-department/ ,"Taylor Swift’s flights in 2022 produced around 8,300 tons of CO₂. Sixteen days in the air leaves a massive trail."
Swiping on Dating Apps (Monthly),Dating Apps,9614 tons,9614000000,"the top 10 dating apps in the US (tinder, grindr, hinge, etc.) produce around 9614 tons a month ",,,https://greenspector.com/en/what-is-the-environmental-impact-of-the-most-used-dating-applications-in-france/ ,
Doomscrolling on Tiktok,TikTok,75169 tonnes,75169000000,annual carbon footprint of dooming on tiktok for france + UK + US,,,https://greenly.earth/en-gb/leaf-media/data-stories/the-hidden-environmental-cost-of-social-media,
Uganda Electricity and Heat (2022),Uganda Electricity and Heat,"130,000 tonnes",1.30E+11,Uganda carbon emission by electricty and heating in 2022,,,https://ourworldindata.org/emissions-by-sector,
Training Llama 3.1 (AI),Training Llama 3.1,"8,930 tonnes",8930000000,,,, https://www.axios.com/2025/04/14/chatbots-chatgpt-ai-carbon-climate,Training Llama 3.1 produced an astonishing 405 billion grams of CO₂. AI evolution comes with a serious environmental tab.
California Data Centers (2019-2023),California Data Centers,9.42 million short tons,2159088400000,,data centers in CA,,,
GenAI Global Emissions (Decade) ,GenAI Global Emissions (Decade),~16.52 - 223.113015 million tonnes ,40000000000000,the global carbon emmissions attributable to Generative AI is predicted to range from 18.21 to 245.94 mil tons by 2035 ,,(since having a range like this might look a bit fucky on the site we can take the median of this or smth but it looks to be the only thing in the mil tonnes range),https://www.sciencedirect.com/science/article/pii/S2666675825000694#fig1 ,Generative AI could emit up to roughly 223 million tons of CO₂ over the next decade. The future footprint of AI is enormous if nothing changes.
Tobacco Industry,Tobacco Industry,84 mil tonnes ,84000000000000,from growing to manufacturing and smoking ,smoking area ,,https://share.google/aJzgjC5z73lPEHYHz ,"The tobacco industry produces roughly 84 million tons of CO₂ each year. From growing to smoking, it leaves a heavy mark."
UK Electricity and Heat (2022),UK Electricity and Heat,91 million tonnes,9.10E+13,UK carbon emission by electricity and heating in 2022,heater heat,,https://ourworldindata.org/emissions-by-sector,
US 2Waste Emission (2022),US Waste,167 mil tonnes,1.67E+14,United States carbon emission for waste in 2022,,,https://ourworldindata.org/emissions-by-sector,
World Aviation and Shipping (2022),World Aviation and Shipping,1.14 billion tonnes,1.14E+15,global carbon emission for aviation and shipping in 2022,Airplane,,https://ourworldindata.org/emissions-by-sector,
Chinese Industrial Proccesses and Product Use ,Chinese Industry,1628 million metric tons,1.628E+15,,,,https://www.nature.com/articles/s43247-024-01951-1 ,China’s industrial processes add over a billion tons of CO₂. Factory output echoes into the atmosphere.
World Waste Emission (2022),World Waste,1.90 billion tonnes,1.90E+15,global carbon emission for waste in 2022,waste sewer,,https://ourworldindata.org/emissions-by-sector,
Carbon Footprint of Data Centers (until 2030) ,Data Centers (Decade),2.5 billion tonnes ,2.5E+15,,,,,Data centers through 2030 may reach about 2.5 billion tons of CO₂. Our digital world runs on a giant carbon engine.
Manufacturing in the United States (2021),US Manufacturing,51.2 BMT,5.12E+16,,,,https://www.cbo.gov/publication/60030,U.S. manufacturing in 2021 emitted about 51.2 billion tons of CO₂. Industry keeps the planet working overtime.
